tanggal,komoditas,commodity_id,harga_terkini,harga_sebelumnya,perubahan_rupiah,perubahan_persen,harga_rata_rata,harga_terendah,harga_tertinggi,status_perubahan,unit,image_path
2026-05-31,Ayam Broiler/Ras,16,43161,43313,-152,-0.350933899752961,43750,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-01,Ayam Broiler/Ras,16,43900,43161,739,1.7121938787331157,43749,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-02,Ayam Broiler/Ras,16,43267,43333,-66,-0.1523088639143378,43739,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-04,Ayam Broiler/Ras,16,43518,42776,742,1.7346175425472228,43720,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-05,Ayam Broiler/Ras,16,42987,43480,-493,-1.1338546458141674,43721,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-06,Ayam Broiler/Ras,16,41579,42562,-983,-2.309571918612847,43689,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-08,Ayam Broiler/Ras,16,42813,41250,1563,3.7890909090909095,43644,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-09,Ayam Broiler/Ras,16,42566,42813,-247,-0.5769275687291243,43631,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-10,Ayam Broiler/Ras,16,41436,42566,-1130,-2.6547009350185595,43602,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-11,Ayam Broiler/Ras,16,43524,41436,2088,5.039096437880104,43581,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-14,Ayam Broiler/Ras,16,43550,42616,934,2.191665102308992,43520,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-16,Ayam Broiler/Ras,16,41936,42232,-296,-0.7008903201363894,43487,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-17,Ayam Broiler/Ras,16,44100,41936,2164,5.160244181610072,43446,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-20,Ayam Broiler/Ras,16,42627,42059,568,1.3504838441237308,43311,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-21,Ayam Broiler/Ras,16,43569,42627,942,2.20986698571328,43275,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-22,Ayam Broiler/Ras,16,41767,43569,-1802,-4.135968234295026,43253,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-23,Ayam Broiler/Ras,16,43832,41744,2088,5.00191644308164,43241,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-26,Ayam Broiler/Ras,16,41233,41132,101,0.2455509092677234,43179,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-27,Ayam Broiler/Ras,16,43820,41233,2587,6.274100841558945,43180,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-28,Ayam Broiler/Ras,16,42253,43019,-766,-1.780608568307027,43153,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-29,Ayam Broiler/Ras,16,41552,42900,-1348,-3.142191142191142,43124,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-06-30,Ayam Broiler/Ras,16,41657,41552,105,0.2526954177897574,43103,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-01,Ayam Broiler/Ras,16,43137,41657,1480,3.5528242552272125,43060,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-02,Ayam Broiler/Ras,16,41478,43137,-1659,-3.845886362055776,43024,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-03,Ayam Broiler/Ras,16,42843,41478,1365,3.290901200636482,43002,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-04,Ayam Broiler/Ras,16,39417,42843,-3426,-7.996638890833975,42974,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-05,Ayam Broiler/Ras,16,41659,42293,-634,-1.4990660392972832,42949,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-06,Ayam Broiler/Ras,16,42907,41659,1248,2.995751218224153,42929,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-07,Ayam Broiler/Ras,16,41590,42940,-1350,-3.1439217512808573,42890,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-08,Ayam Broiler/Ras,16,41887,41757,130,0.3113250472974591,42883,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-09,Ayam Broiler/Ras,16,40933,41887,-954,-2.277556282378781,42867,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-10,Ayam Broiler/Ras,16,44183,41986,2197,5.232696613156766,42862,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-11,Ayam Broiler/Ras,16,42072,43183,-1111,-2.572771692564204,42845,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-12,Ayam Broiler/Ras,16,42573,42072,501,1.190815744438106,42831,29727,60000,rise,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-13,Ayam Broiler/Ras,16,42467,42573,-106,-0.2489840979024264,42818,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-15,Ayam Broiler/Ras,16,42243,42520,-277,-0.6514581373471308,42798,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-07-17,Ayam Broiler/Ras,16,41872,42739,-867,-2.0285921523666905,42764,29727,60000,fall,ekor,https://infopangan.jakarta.go.id/api2/v1/file?name=ayam-broiler-ras.png
2026-05-31,Bawang Merah,12,59476,59133,343,0.5800483655488475,51937,20511,70000,rise,kg,https://infopangan.jakarta.go.id/api2/v1/file?name=bawang-merah.png
2026-06-01,Bawang Merah,12,59483,59476,7,0.0117694532248301,52015,20511,75000,rise,kg,https://infopangan.jakarta.go.id/api2/v1/file?name=bawang-merah.png
2026-06-02,Bawang Merah,12,56450,59817,-3367,-5.62883461223398,52084,20511,75000,fall,kg,https://infopangan.jakarta.go.id/api2/v1/file?name=bawang-merah.png
2026-06-04,Bawang Merah,12,61131,62243,-1112,-1.7865462782963546,52400,20511,75000,fall,kg,https://infopangan.jakarta.go.id/api2/v1/file?name=bawang-merah.png
2026-06-05,Bawang Merah,12,60133,60869,-736,-1.209154085002218,52478,20511,75000,fall,kg,https://infopangan.jakarta.go.id/api2/v1/file?name=bawang-merah.png
2026-06-06,Bawang Merah,12,59550,60274,-724,-1.2011812721903308,52575,20511,75000,fall,kg,https://infopangan.jakarta.go.id/api2/v1/file?name=bawang-merah.png
2026-06-08,Bawang Merah,12,59527,60323,-796,-1.319563019080616,52750,20511,75000,fall,kg,https://infopangan.jakarta.go.id/api2/v1/file?name=bawang-merah.png
